"Datenbank","Titel (100000)","Titel (100000.1)","Verfasser (100001)","Verfasser (100001.1)","Jahr (100002)","Jahr (100002.1)","Regalstandort (100005)","Regalstandort (100005.1)",100011,100011.1,100012,100012.1
"Stadtbibliothek Chemnitz","Burg Schlummerschatz ...ein ungewöhnliches Memo-Spiel",,,"Meister, Heinz","[2015] ©2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Muckefuck und Liebestöter Rund um die alte Begriffe und Gegenstände",,,"Friese, Andrea","2015",,"G 213 Muc",,,,,
"Stadtbibliothek Chemnitz","1, 2, Puzzelei - Gegensätze",,,"Leykamm, Martina","[2015]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Stapelnest Kniffliger Stapelspaß für kleine Nestarchitekten : das kunterbunte Stapelspiel mit Memoeffekt",,,"Ménager, Pierre","[2015] ©2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Die Legenden von Andor Chada & Thorn",,,"Hecht, Gerhard","[2015] © 2015",,"Games Legenden",,,,,
"Stadtbibliothek Chemnitz","Neon unnützes Quizzen Weihnachten",,,,"[2015]",,"A 090 Neo",,,,,
"Stadtbibliothek Chemnitz","Carcassonne - Star Wars Edition",,,"Wrede, Klaus-Jürgen","2015",,"Games Carcass Rot Spiele Carcass",,,,,
"Stadtbibliothek Chemnitz","Happy Numbers der etwas andere Gedächtnistrainer",,,"Maier, Stefan Matthias","[2015] © 2015",,"Games Happy",,,,,
"Stadtbibliothek Chemnitz","Wo bitte ist Umtata? die schrägen Seiten Europas",,,"Steinwender, Arno","[2015] © 2015",,"Games Wobitte",,,,,
"Stadtbibliothek Chemnitz","Die geheimnisvolle Drachenhöhle",,,"Lanzavecchia, Carlo Emanuele","[2015]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Echt jetzt?! oder was?",,,,"[2015] © 2015",,"Rot Spiele Echt",,,,,
"Stadtbibliothek Chemnitz","Drachen-Rallye Ein spannender Wettflug um diie Dracheninsel",,,"Ludwig, Manfred","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Quick Buzz - Das Vokabelduell Italienisch lernen mit Spass und Action : Niveau A1-B1",,,,"2015 © 2015",,"320 I 321 Qui",,,,,
"Stadtbibliothek Chemnitz","Monopoly - Game of Thrones Collector's Edition das berühmte Spiel um den großen Deal",,,,"[2015] © 2015",,"Games Monopoly",,,,,
"Stadtbibliothek Chemnitz","Kaleidos Junior",,,"Albertarelli, Spartaco","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Yak",,,"Light, Bono","2015",,"Rot Spiele Yak",,,,,
"Stadtbibliothek Chemnitz","Loony Quest",,,"Escoffier, Laurent","2015",,"Rot Spiele Loony",,,,,
"Stadtbibliothek Chemnitz","The Game Spiel ... so lange du kannst!",,,"Benndorf, Steffen","2015",,"Blau Spiele Game",,,,,
"Stadtbibliothek Chemnitz","Cacao",,,"Walker-Harding, Phil","2015",,"Rot Spiele Cacao",,,,,
"Stadtbibliothek Chemnitz","4+1= Meins das Piratenspiel zum Erfassen, Zerlegen & Ergänzen von Zahlenmengen",,,"Gulden, Elke","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Bubbles ein farbenfrohes Such- und Reaktionsspiel",,,"Dirscherl, Wolfgang","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Der verdrehte Sprachzoo sprechen, merken, nacherzählen",,,"Kreowski, Klaus","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Schatz-Rabatz",,,"Hetling, Karin","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Der Räuber Hotzenplotz - die magische Kristallkugel Spüre den Räuber mit magischer Hilfe auf!",,,"Haferkamp, Kai","[2015] © 2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Spinderella",,,"Fraga, Roberto","2015",,"Rot Spiele Spind",,,,,
"Stadtbibliothek Chemnitz","Trampel-Tiere ... ein witziges Tier-Ratespiel",,,"Brand, Emely","2015",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Ratze Putz Schnappt euch die Rübe!",,,"Basler, Christine","2015",,"Sport Spiele",,,,,
